id;user_id;start_date;end_date
1;36713;2023-02-07T17:11:21;2023-02-08T05:14:20
2;57421;2023-02-08T09:20:00;2023-02-08T12:53:16
3;26510;2023-02-07T15:06:21;2023-02-08T08:59:09
4;78605;2023-02-08T08:53:18;2023-02-08T00:26:55
5;73042;2023-02-08T08:26:33;2023-02-08T00:06:44
6;72379;2023-02-07T18:51:07;2023-02-08T07:43:17
7;30589;2023-02-07T17:23:46;2023-02-07T20:33:28
8;33557;2023-02-07T22:17:10;2023-02-07T21:26:53
9;98670;2023-02-08T03:51:40;2023-02-07T15:18:01
10;12408;2023-02-07T19:35:53;2023-02-08T02:16:37
